AR,NU,D,F1,F2,F3,F4,F5
North,9320,30176,70,82,139,264,8766
North ,12529,21469,17,68,98,497,11849
North,5891,14576,12,43,51,126,5660
West,14412,21265,83,132,206,826,13162
East,13236,26471,69,49,169,721,12228
East,5177,9667,27,9,22,90,5029
East,7916,6964,25,16,63,553,7264
Center,13100,9899,25,66,76,2008,10925
Center,5410,4299,15,11,18,827,4537
Center,10071,5362,23,18,115,2741,7174
Center,7925,5917,30,53,113,1547,6182
East,6702,6219,48,138,249,923,5344
East,6759,5211,17,36,95,897,5714
South,13885,8760,36,32,116,2781,10919
South,14387,9943,70,69,763,2933,10552
South,6157,4596,42,43,224,1072,4776
South,8881,6349,36,34,132,2152,6526
South,10159,8740,80,156,234,2743,6946
South,5117,4380,42,38,158,1405,3474
West,4306,5904,43,59,92,2005,2107
West,4037,21170,44,119,874,2109,891
